Source,SampleID,Seat tube (m),Down tube (m),Seat stays (m),Head tube (m),Bottom bracket (m),Chain stay start (m) [Back fork side],Chain stay end (m) [seat tube side],Top tube start (m) [Seat tube side],Top tube end (m) [Head tube side],Seat tube Joint (MPa),Head tube Joint (MPa),Bottom Bracket Joint (MPa),Seat tube Joint (Pa),Head tube Joint (Pa),Bottom Bracket Joint (Pa),Vertical Force (N),Vertical Displacement (m),Vertical Displacement (mm),Vertical Compliance (mm/N),Vertical Stiffness (N/mm),Lateral Force (N),Lateral Displacement (m),Lateral Displacement (mm),Lateral Stiffness (N/mm)
Fillet_First60,20,0.00148076,0.0023777,0.00142725,0.00219053,0.00212506,0.0021416,0.00162924,0.00289233,0.00165232,30.371,49.788,48.095,3.04E+07,4.98E+07,4.81E+07,2400,-4.71E-04,-0.470612,0.00019609,5099.74565,1660,-1.57E-03,-1.574825,1054.085064
Fillet_First60,21,0.00154223,0.0020831,0.00109725,0.00239455,0.00156373,0.00212343,0.00161304,0.00293029,0.00164832,37.873,47.068,58.569,3.79E+07,4.71E+07,5.86E+07,2400,-5.22E-04,-0.521511,0.0002173,4602.008569,1660,-1.69E-03,-1.691451,981.406123
Fillet_First60,22,0.00150645,0.00203957,0.00142095,0.00216258,0.00184264,0.00211519,0.00160665,0.00294203,0.0016681,30.3,51.229,57.451,3.03E+07,5.12E+07,5.75E+07,2400,-4.81E-04,-0.48063,0.00020026,4993.450998,1660,-1.57E-03,-1.565279,1060.513576
Fillet_First60,23,0.00169466,0.00227664,0.001482,0.00242325,0.00235489,0.00213714,0.00162424,0.00291146,0.001647,29.446,45.997,48.388,2.94E+07,4.60E+07,4.84E+07,2400,-4.51E-04,-0.450551,0.00018773,5326.8092,1660,-1.53E-03,-1.529857,1085.06875
Fillet_First60,24,0.00170199,0.00232257,0.00107591,0.00255483,0.00154609,0.00216865,0.00165951,0.00295754,0.00169459,38.677,43.866,57.925,3.87E+07,4.39E+07,5.79E+07,2400,-5.05E-04,-0.504612,0.00021026,4756.126979,1660,-1.67E-03,-1.666317,996.208962
Fillet_First60,25,0.00164779,0.00221665,0.00129167,0.00221098,0.00216284,0.00216494,0.00161428,0.00286104,0.00166245,32.943,49.609,50.651,3.29E+07,4.96E+07,5.07E+07,2400,-4.76E-04,-0.476053,0.00019836,5041.459243,1660,-1.59E-03,-1.593245,1041.898746
Fillet_First60,26,0.00167714,0.002168,0.00104832,0.00232705,0.00191149,0.00213485,0.00165619,0.00290194,0.001692,39.419,47.352,53.196,3.94E+07,4.74E+07,5.32E+07,2400,-5.13E-04,-0.51256,0.00021357,4682.382275,1660,-1.69E-03,-1.688921,982.875834
Fillet_First60,27,0.00167154,0.00256819,0.00144157,0.00265575,0.00202946,0.0021271,0.00164818,0.00292941,0.00165642,30.278,46.895,47.191,3.03E+07,4.69E+07,4.72E+07,2400,-4.51E-04,-0.451082,0.00018795,5320.543129,1660,-1.54E-03,-1.538254,1079.145681
Fillet_First60,28,0.00146453,0.00259699,0.00156774,0.00222661,0.00161182,0.00209116,0.00164248,0.00287143,0.00166907,28.307,48.862,57.182,2.83E+07,4.89E+07,5.72E+07,2400,-4.60E-04,-0.4604,0.00019183,5212.853287,1660,-1.55E-03,-1.549947,1071.004084
Fillet_First60,29,0.00155567,0.00223221,0.00116232,0.00247505,0.00217568,0.00211183,0.00163421,0.00286287,0.00166573,36.085,45.98,50.621,3.61E+07,4.60E+07,5.06E+07,2400,-5.00E-04,-0.500436,0.00020851,4795.820077,1660,-1.67E-03,-1.66685,995.8906
Fillet_First60,30,0.00161376,0.00218716,0.00146028,0.002084,0.00206724,0.00212071,0.00161586,0.00294057,0.00167825,29.744,53.078,52.349,2.97E+07,5.31E+07,5.23E+07,2400,-4.63E-04,-0.462829,0.00019285,5185.497641,1660,-1.54E-03,-1.542712,1076.027116
Fillet_First60,31,0.00148442,0.00243337,0.00104042,0.002594,0.00201408,0.00211735,0.00165089,0.00293417,0.00164732,39.869,46.591,47.451,3.99E+07,4.66E+07,4.75E+07,2400,-5.20E-04,-0.520092,0.0002167,4614.571103,1660,-1.72E-03,-1.724169,962.782465
Fillet_First60,32,0.00149193,0.0024834,0.00120623,0.00245329,0.00246229,0.0021614,0.00162054,0.00288233,0.00164291,35.023,47.376,44.851,3.50E+07,4.74E+07,4.49E+07,2400,-4.89E-04,-0.489331,0.00020389,4904.655278,1660,-1.65E-03,-1.647738,1007.441413
Fillet_First60,33,0.00179566,0.00244298,0.00112586,0.00223815,0.00176098,0.00208847,0.00162175,0.00287617,0.00165849,37.306,48.603,51.133,3.73E+07,4.86E+07,5.11E+07,2400,-4.88E-04,-0.488228,0.00020343,4915.735672,1660,-1.64E-03,-1.644724,1009.287813
Fillet_First60,34,0.00173611,0.00214172,0.00119935,0.00236512,0.00194872,0.0021798,0.00161231,0.00289097,0.00168478,35.054,46.518,53.395,3.51E+07,4.65E+07,5.34E+07,2400,-4.86E-04,-0.485562,0.00020232,4942.722644,1660,-1.61E-03,-1.612616,1029.383141
Fillet_First60,35,0.00174401,0.00209131,0.00126857,0.00270261,0.00174433,0.00213381,0.00163939,0.0029689,0.00164553,33.418,45.262,56.185,3.34E+07,4.53E+07,5.62E+07,2400,-4.80E-04,-0.479629,0.00019985,5003.867559,1660,-1.58E-03,-1.583089,1048.582677
Fillet_First60,36,0.00145386,0.002522,0.00155113,0.00225576,0.00164371,0.00215258,0.00162606,0.00285895,0.00165921,28.454,48.167,55.913,2.85E+07,4.82E+07,5.59E+07,2400,-4.62E-04,-0.46233,0.00019264,5191.099379,1660,-1.54E-03,-1.543152,1075.720575
Fillet_First60,37,0.00152869,0.00230513,0.00131493,0.0024318,0.00168044,0.00208071,0.00165727,0.00296338,0.00164431,32.57,46.73,53.656,3.26E+07,4.67E+07,5.37E+07,2400,-4.85E-04,-0.484821,0.00020201,4950.277101,1660,-1.60E-03,-1.604364,1034.677738
Fillet_First60,38,0.00149698,0.00245796,0.00150558,0.00270603,0.0020958,0.00214476,0.00164471,0.00288448,0.00169007,29.129,46.288,46.978,2.91E+07,4.63E+07,4.70E+07,2400,-4.60E-04,-0.460469,0.00019186,5212.079191,1660,-1.56E-03,-1.556231,1066.679682
